"B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied","id","Geographic Area Name"
"1574","257","1004","228","570","245","1400000US13135050747","Census Tract 507.47, Gwinnett County, Georgia"
"1437","640","1282","643","155","51","1400000US13135050748","Census Tract 507.48, Gwinnett County, Georgia"
"1026","171","824","167","202","154","1400000US13135050749","Census Tract 507.49, Gwinnett County, Georgia"
"1476","241","1399","247","77","67","1400000US13135050750","Census Tract 507.50, Gwinnett County, Georgia"
"1102","141","824","157","278","148","1400000US13135050751","Census Tract 507.51, Gwinnett County, Georgia"
"965","135","660","146","305","146","1400000US13135050752","Census Tract 507.52, Gwinnett County, Georgia"
"1145","234","812","171","333","153","1400000US13135050753","Census Tract 507.53, Gwinnett County, Georgia"
"959","165","741","188","218","78","1400000US13135050754","Census Tract 507.54, Gwinnett County, Georgia"
"728","73","644","77","84","67","1400000US13135050755","Census Tract 507.55, Gwinnett County, Georgia"
"1520","245","1393","281","127","122","1400000US13135050756","Census Tract 507.56, Gwinnett County, Georgia"
"1063","223","862","241","201","94","1400000US13135050757","Census Tract 507.57, Gwinnett County, Georgia"
"1027","122","855","149","172","115","1400000US13135050758","Census Tract 507.58, Gwinnett County, Georgia"
"1405","449","1363","444","42","45","1400000US13135050759","Census Tract 507.59, Gwinnett County, Georgia"
"1367","196","1189","215","178","115","1400000US13135050760","Census Tract 507.60, Gwinnett County, Georgia"
"946","101","862","140","84","76","1400000US13135050761","Census Tract 507.61, Gwinnett County, Georgia"
"1594","156","1481","157","113","70","1400000US13135050762","Census Tract 507.62, Gwinnett County, Georgia"
"1136","198","936","208","200","95","1400000US13135050763","Census Tract 507.63, Gwinnett County, Georgia"
"987","93","651","108","336","88","1400000US13135050764","Census Tract 507.64, Gwinnett County, Georgia"
"897","93","848","99","49","35","1400000US13135050765","Census Tract 507.65, Gwinnett County, Georgia"
