"","TractID","Year","TotalFilings","TotalHousehold2019","EvictionRate","PovertyRate","EducationRate","UninsurRate","MinorityRate","RenterRate","UnempRate","RentBurdenRate"
"1",13063040202,"20",156,904,0.172566371681416,0.152,0.0974822466107166,0.251,0.046133421838699,0.610798650168729,0.031,0.677716390423573
"2",13063040203,"20",233,1569,0.148502230720204,0.085,0.288017588860388,0.217,0.0182912154031287,0.602065613608748,0.095,0.515640766902119
"3",13063040204,"20",335,1904,0.175945378151261,0.17,0.239287869643935,0.21,0.0243126987095568,0.744877049180328,0.046,0.475928473177442
"4",13063040302,"20",218,1951,0.111737570476679,0.247,0.0620829706991587,0.296,0.1504,0.686934673366834,0.083,0.455010972933431
"5",13063040306,"20",495,1369,0.361577794010226,0.261,0.113960113960114,0.194,0.0557206537890045,0.955439056356488,0.05,0.641289437585734
"6",13063040307,"20",32,1463,0.0218728639781271,0.145,0.145559845559846,0.307,0.175367869381173,0.384390955506929,0.092,0.518026565464896
"7",13063040308,"20",158,1655,0.0954682779456193,0.254,0.0432252701579385,0.201,0.18349806617963,0.647201946472019,0.033,0.679511278195489
"8",13063040407,"20",70,1250,0.056,0.093,0.177021276595745,0.127,0.128744939271255,0.384497313891021,0.021,0.281437125748503
"9",13063040409,"20",211,1864,0.113197424892704,0.104,0.110402781802376,0.153,0.104597148806663,0.361025641025641,0.084,0.431818181818182
"10",13063040410,"20",113,2346,0.0481670929241262,0.112,0.115208333333333,0.14,0.0907592850804918,0.348116860260472,0.064,0.651162790697674
"11",13063040414,"20",44,592,0.0743243243243243,0.221,0.144288577154309,0.196,0.16030174446016,0.659649122807018,0.056,0.311170212765957
"12",13063040416,"20",82,1090,0.0752293577981651,0.199,0.131519274376417,0.251,0.154684095860566,0.41585233441911,0.069,0.31331592689295
"13",13063040417,"20",361,1957,0.184466019417476,0.223,0.08110300081103,0.267,0.0662417921977597,0.912694667295894,0.115,0.581178903826267
"14",13063040509,"20",51,1626,0.0313653136531365,0.178,0.192748091603053,0.143,0.0497554752285775,0.286133960047004,0.067,0.468172484599589
"15",13063040510,"20",230,1270,0.181102362204724,0.273,0.101042790363179,0.194,0.0604312177345885,0.495720868992758,0.088,0.561752988047809
"16",13063040512,"20",276,2005,0.137655860349127,0.209,0.215890043580288,0.147,0.0438714643063306,0.493548387096774,0.047,0.623093681917211
"17",13063040513,"20",38,1620,0.0234567901234568,0.145,0.127544529262087,0.138,0.0759447004608295,0.323529411764706,0.046,0.53516295025729
"18",13063040518,"20",200,1697,0.117855038302887,0.228,0.152667256115532,0.217,0.074354809601155,0.617751479289941,0.123,0.564176245210728
"19",13063040519,"20",675,2369,0.284930350358801,0.324,0.101946552292973,0.192,0.0174811283273738,1,0.092,0.580122591943958
"20",13063040521,"20",50,1082,0.0462107208872458,0.301,0.0690909090909091,0.201,0.093121057374587,0.529577464788732,0.068,0.579787234042553
"21",13063040522,"20",339,1807,0.187603763143331,0.21,0.103260869565217,0.185,0.0722846441947566,0.651497005988024,0.078,0.578125
"22",13063040523,"20",76,1092,0.0695970695970696,0.13,0.123417721518987,0.222,0.0679571663920923,0.600393700787402,0.02,0.573770491803279
"23",13063040525,"20",50,1046,0.0478011472275335,0.185,0.251336898395722,0.21,0.066397034041119,0.362135922330097,0.101,0.544235924932976
"24",13063040606,"20",70,1002,0.0698602794411178,0.127,0.107913669064748,0.164,0.236457161228098,0.204275534441805,0.033,0.581395348837209
"25",13063040609,"20",187,2161,0.0865340120314669,0.039,0.19131455399061,0.173,0.135661611242521,0.415076779897627,0.041,0.389013452914798
"26",13063040614,"20",14,1794,0.00780379041248606,0.014,0.357702349869452,0.096,0.36647419704078,0.142137096774194,0.052,0.695035460992908
"27",13063040615,"20",20,629,0.0317965023847377,0.084,0.245088868101029,0.116,0.119512195121951,0.33112582781457,0.057,0.51
"28",13063040617,"20",130,354,0.367231638418079,0.255,0.0528169014084507,0.274,0.242058449809403,0.448795180722892,0.03,0.476510067114094
"29",13067030104,"20",28,1512,0.0185185185185185,0.216,0.162576687116564,0.071,0.596814335490294,0.521596858638743,0.076,0.485570890840652
"30",13067030107,"20",16,1692,0.00945626477541371,0.019,0.443965517241379,0.089,0.518734226363813,0.0995415848068107,0.043,0.361842105263158
"31",13067030220,"20",5,581,0.00860585197934595,0.102,0.400218102508179,0.07,0.610644257703081,0.103918228279387,0.094,0.262295081967213
"32",13067030233,"20",13,1565,0.00830670926517572,0.032,0.478405315614618,0.051,0.578958645811013,0.0512048192771084,0.04,0.317647058823529
"33",13067030235,"20",5,1653,0.00302480338777979,0.042,0.501798561151079,0.069,0.710264266564535,0.0522193211488251,0.046,0.2375
"34",13067030236,"20",10,1474,0.0067842605156038,0.04,0.628730600875448,0.021,0.78747553816047,0.0322812051649928,0.041,0.888888888888889
"35",13067030319,"20",7,1762,0.0039727582292849,0.077,0.721038357225881,0.039,0.68171368861024,0.0931174089068826,0.036,0.254658385093168
"36",13067030322,"20",5,1194,0.00418760469011725,0.009,0.629202689721422,0.032,0.749448732083793,0.0822942643391521,0.023,0.404040404040404
"37",13067030324,"20",4,1225,0.00326530612244898,0.017,0.395791980944819,0.079,0.7,0.106598984771574,0.069,0.27891156462585
"38",13067030326,"20",1,1449,0.000690131124913734,0.026,0.658547008547009,0.048,0.752252252252252,0.0322118826055834,0.032,0.666666666666667
"39",13067030327,"20",7,1679,0.00416914830256105,0.12,0.551816958277254,0.075,0.717340133385642,0.162026726057906,0.105,0.120274914089347
"40",13067030329,"20",7,1669,0.00419412822049131,0.006,0.55134006265228,0.062,0.69795832456325,0.141604010025063,0.04,0.398230088495575
"41",13067030331,"20",1,1983,0.000504286434694907,0.021,0.718915343915344,0.038,0.753483901970207,0.0238215914850482,0.052,0.170212765957447
"42",13067030334,"20",3,1258,0.00238473767885533,0.067,0.761553918285332,0.039,0.761864644762707,0.0897887323943662,0.066,0.519607843137255
"43",13067030335,"20",1,1740,0.000574712643678161,0.032,0.78998778998779,0.017,0.794035932580107,0.0731414868105516,0.007,0.418032786885246
"44",13067030337,"20",3,1587,0.00189035916824197,0.027,0.785299003322259,0.006,0.790815294355654,0.0262130507529281,0.039,0.425531914893617
"45",13067030340,"20",2,1246,0.00160513643659711,0.007,0.650967199327166,0.018,0.791404875596884,0.0437956204379562,0.05,0.6
"46",13067030341,"20",6,1544,0.0038860103626943,0.02,0.658163265306122,0.043,0.681361492720935,0.0841902313624679,0.033,0.0763358778625954
"47",13067030342,"20",5,1686,0.0029655990510083,0.029,0.651172190784155,0.034,0.794902429311031,0.0931989924433249,0.045,0.202702702702703
"48",13067030343,"20",1,1536,0.000651041666666667,0.018,0.723193665456945,0.035,0.81973203410475,0.0169204737732657,0.03,0
"49",13067030344,"20",196,2006,0.0977068793619143,0.068,0.383257229832572,0.154,0.256618044300378,0.904055390702275,0.048,0.50109409190372
"50",13067030345,"20",477,2770,0.172202166064982,0.067,0.536092985318108,0.171,0.377033226748227,0.85636769869135,0.065,0.329481923220276
"51",13067030405,"20",430,2961,0.145221209050996,0.165,0.374970428199669,0.211,0.384939195509822,0.640963855421687,0.039,0.479591836734694
"52",13067030407,"20",9,1968,0.00457317073170732,0.085,0.537187594098163,0.14,0.667593328038125,0.287248322147651,0.046,0.32398753894081
"53",13067030408,"20",20,1343,0.0148920327624721,0.055,0.626387176325524,0.119,0.473840345199569,0.352693602693603,0.027,0.362768496420048
"54",13067030409,"20",4,1195,0.00334728033472803,0.031,0.727921009325288,0.032,0.660098522167488,0.0546047269763651,0.056,0.761194029850746
"55",13067030410,"20",100,2112,0.0473484848484848,0.078,0.538509902546369,0.063,0.595815408682049,0.532424812030075,0.036,0.477493380406002
"56",13067030411,"20",234,870,0.268965517241379,0.155,0.259185036740147,0.307,0.165299956840742,0.904942965779468,0.109,0.494397759103641
"57",13067030412,"20",142,1935,0.0733850129198966,0.249,0.306058221872541,0.293,0.240242844752819,0.800893743793446,0.044,0.427154370737756
"58",13067030413,"20",381,2545,0.149705304518664,0.26,0.411132024737833,0.332,0.222606689734717,0.884664673216574,0.024,0.465475615644616
"59",13067030414,"20",342,1461,0.234086242299795,0.271,0.202247191011236,0.315,0.192158036516013,1,0.04,0.573495811119573
"60",13067030505,"20",227,3012,0.0753652058432935,0.181,0.295588582212786,0.117,0.367661212704524,0.807488653555219,0.048,0.449180327868852
"61",13067030506,"20",162,1879,0.086216072378925,0.217,0.30766598220397,0.202,0.524614726027397,0.574781659388646,0.127,0.533713200379867
"62",13067030507,"20",11,1942,0.00566426364572606,0.057,0.405192160855179,0.117,0.627641347801256,0.0897994768962511,0.04,0.558252427184466
"63",13067030602,"20",22,3117,0.00705806865575874,0.064,0.685790884718499,0.029,0.797663303239511,0.278698979591837,0.017,0.464530892448513
"64",13067030700,"20",41,1885,0.0217506631299735,0.252,0.326171875,0.145,0.433164128595601,0.542596348884381,0.055,0.557943925233645
"65",13067030800,"20",40,1510,0.0264900662251656,0.18,0.176395615600306,0.295,0.499732953533915,0.607142857142857,0.066,0.361820199778024
"66",13067031001,"20",117,1887,0.0620031796502385,0.282,0.109659781287971,0.312,0.26862344417611,0.632337246531483,0.036,0.556962025316456
"67",13067031004,"20",234,3001,0.0779740086637787,0.152,0.137459807073955,0.259,0.225806451612903,0.662566489361702,0.041,0.479177119919719
"68",13067031005,"20",31,1637,0.0189370800244349,0.09,0.232326378075366,0.311,0.273975076756366,0.266505148394912,0.054,0.340909090909091
"69",13067031101,"20",183,2107,0.0868533459895586,0.254,0.291471215351812,0.293,0.398613826195131,0.614716825134353,0.034,0.550100874243443
"70",13067031110,"20",62,1368,0.0453216374269006,0.055,0.500507099391481,0.14,0.640394088669951,0.347076461769115,0.031,0.382289416846652
"71",13067031111,"20",42,1959,0.0214395099540582,0.038,0.477011494252874,0.141,0.524709302325581,0.305421363392378,0.031,0.224956063268893
"72",13067031112,"20",66,2378,0.0277544154751892,0.022,0.705671028996664,0.002,0.576609404823876,0.390618681763041,0.017,0.415113871635611
"73",13067031113,"20",117,744,0.157258064516129,0.19,0.443462897526502,0.22,0.232808022922636,0.860992907801418,0.047,0.507413509060956
"74",13067031114,"20",209,3692,0.0566088840736728,0.136,0.43521411505238,0.2,0.278343023255814,0.82979302832244,0.06,0.383327863472268
"75",13067031115,"20",32,1720,0.0186046511627907,0.079,0.38728565453785,0.16,0.428848223896663,0.256764882742032,0.033,0.501170960187354
"76",13067031116,"20",165,1761,0.0936967632027257,0.105,0.306611853374443,0.239,0.347187237615449,0.406001224739743,0.064,0.447963800904977
"77",13067031117,"20",74,2238,0.033065236818588,0.033,0.521459854014598,0.084,0.626954840976981,0.170924291686019,0.044,0.432065217391304
"78",13067031118,"20",69,2412,0.0286069651741294,0.031,0.542242210086733,0.077,0.574169864842316,0.327615780445969,0.03,0.463350785340314
"79",13067031207,"20",176,2690,0.0654275092936803,0.012,0.630188679245283,0.049,0.487649556155924,0.737162162162162,0.026,0.264894592117324
"80",13067031209,"20",7,1823,0.00383982446516731,0.08,0.74750601995184,0.044,0.659037931765204,0.10622914349277,0.013,0.418848167539267
"81",13067031212,"20",4,1012,0.00395256916996047,0.016,0.845039826212889,0.016,0.895765472312704,0.0943043884220355,0.027,0.0594059405940594
"82",13067031306,"20",28,1548,0.0180878552971576,0.086,0.256295274232494,0.18,0.301963601532567,0.480207657365347,0.088,0.378378378378378
"83",13067031308,"20",67,1827,0.036672140120416,0.041,0.259138617444806,0.239,0.23850955173066,0.33855421686747,0.086,0.371886120996441
"84",13067031409,"20",61,2313,0.0263726761781236,0.082,0.279490806223479,0.124,0.246376811594203,0.206113941639648,0.077,0.530337078651685
"85",13067031506,"20",18,1986,0.00906344410876133,0.145,0.311909262759924,0.106,0.349023535302954,0.247112004018081,0.072,0.483739837398374
"86",13067031507,"20",41,1139,0.0359964881474978,0.092,0.254614292475154,0.079,0.197802197802198,0.289841565703635,0.068,0.607717041800643
"87",13089020100,"20",10,737,0.0135685210312076,0.041,0.818815331010453,0.077,0.769158878504673,0.256661991584853,0.065,0.377049180327869
"88",13089020200,"20",4,983,0.00406917599186165,0.099,0.836978131212724,0.031,0.799727520435967,0.417840375586854,0.052,0.215730337078652
"89",13089020300,"20",4,1675,0.00238805970149254,0.042,0.653208363374189,0.042,0.826313181367691,0.162398500936914,0.077,0.161538461538462
"90",13089020400,"20",3,1245,0.00240963855421687,0.03,0.768409818569904,0.007,0.807045009784736,0.260869565217391,0.035,0.314465408805031
"91",13089020500,"20",33,1513,0.0218109715796431,0.091,0.587780355761794,0.138,0.550236406619385,0.418590522478736,0.039,0.364296081277213
"92",13089020600,"20",45,963,0.0467289719626168,0.221,0.564621409921671,0.139,0.415054519873373,0.421052631578947,0.124,0.557291666666667
"93",13089020700,"20",22,1058,0.0207939508506616,0.148,0.590787359400107,0.121,0.595820189274448,0.532066508313539,0.169,0.672619047619048
"94",13089020801,"20",2,1046,0.00191204588910134,0.04,0.694958847736626,0.03,0.643471754582866,0.160204081632653,0.089,0.388535031847134
"95",13089020802,"20",24,1736,0.0138248847926267,0.119,0.525085910652921,0.065,0.451964032181732,0.235706580366775,0.025,0.281464530892448
"96",13089021101,"20",2,1468,0.00136239782016349,0.048,0.868734069668649,0.038,0.771428571428571,0.0765957446808511,0.022,0.592592592592593
"97",13089021204,"20",16,780,0.0205128205128205,0.407,0.0677083333333333,0.565,0.0994054696789536,0.989487516425756,0.019,0.682602921646746
"98",13089021208,"20",48,1942,0.0247167868177137,0.101,0.684160905091138,0.084,0.563347896068062,0.388838883888389,0.031,0.447916666666667
"99",13089021210,"20",10,1987,0.00503271263210871,0.012,0.799685163321527,0.011,0.803077426747422,0.0478260869565217,0.023,0
"100",13089021211,"20",2,2044,0.000978473581213307,0.03,0.668220338983051,0.023,0.773739023892179,0.0419906687402799,0.021,0.580246913580247
"101",13089021213,"20",1,1205,0.000829875518672199,0.004,0.846733668341708,0.022,0.869368092944177,0.00836820083682008,0.026,0
"102",13089021217,"20",22,950,0.0231578947368421,0.04,0.690670006261741,0.119,0.547945205479452,0.318658280922432,0.049,0.450657894736842
"103",13089021301,"20",180,1720,0.104651162790698,0.316,0.355485646873771,0.306,0.252133625944892,0.842717258261934,0.044,0.577342047930283
"104",13089021305,"20",154,1492,0.103217158176944,0.258,0.286050420168067,0.283,0.260043431053203,0.667534157449577,0.044,0.507797270955166
"105",13089021306,"20",145,1941,0.074703760947965,0.182,0.401027500755515,0.323,0.217577353522054,0.535749751737835,0.015,0.556997219647822
"106",13089021307,"20",82,1245,0.065863453815261,0.219,0.317764471057884,0.322,0.275373323209314,0.412322274881517,0.042,0.5
"107",13089021308,"20",39,1523,0.025607353906763,0.199,0.278514588859416,0.265,0.261415525114155,0.553558590941769,0.09,0.407792207792208
"108",13089021405,"20",14,2281,0.00613765892152565,0.047,0.790008713331397,0.042,0.763790664780764,0.267580716497125,0.009,0.262809917355372
"109",13089021409,"20",65,1339,0.0485436893203883,0.258,0.297324754486962,0.306,0.183314087759815,0.959459459459459,0.009,0.380281690140845
"110",13089021410,"20",78,2062,0.037827352085354,0.172,0.387975460122699,0.351,0.324750192159877,0.590740740740741,0.025,0.528213166144201
"111",13089021411,"20",30,1788,0.0167785234899329,0.055,0.736431690580162,0.044,0.795116772823779,0.561349693251534,0.026,0.318761384335155
"112",13089021412,"20",7,1405,0.00498220640569395,0.047,0.79946284691137,0.033,0.750617283950617,0.162103746397695,0.025,0.24
"113",13089021415,"20",53,1703,0.0311215502055197,0.057,0.701558265582656,0.102,0.591137724550898,0.526575342465753,0.016,0.272632674297607
"114",13089021416,"20",25,855,0.0292397660818713,0.047,0.59496704613541,0.288,0.49297629499561,0.336293007769145,0.037,0.531353135313531
"115",13089021417,"20",111,2151,0.0516039051603905,0.245,0.406495263870095,0.333,0.265429234338747,0.862819299905393,0.041,0.509868421052632
"116",13089021502,"20",88,2418,0.0363937138130687,0.093,0.716811507341924,0.085,0.592404143194621,0.615623612960497,0.062,0.325162220620043
"117",13089021503,"20",198,1516,0.130606860158311,0.179,0.582173913043478,0.094,0.593779015784587,0.560792349726776,0.026,0.633373934226553
"118",13089021602,"20",5,1858,0.00269106566200215,0.034,0.73876698014629,0.028,0.752109959006511,0.301771871539313,0.008,0.515596330275229
"119",13089021604,"20",2,1261,0.00158604282315623,0.017,0.820383451059536,0.026,0.762058823529412,0.0513186029935852,0.023,0
"120",13089021703,"20",2,1764,0.00113378684807256,0.037,0.700395952485702,0.036,0.78961522548614,0.0804195804195804,0.032,0.492753623188406
"121",13089021808,"20",90,1634,0.0550795593635251,0.109,0.523303352412101,0.102,0.507989741566384,0.292278238672623,0.038,0.491266375545852
"122",13089021812,"20",31,858,0.0361305361305361,0.116,0.512014787430684,0.133,0.427937020589423,0.282364933741081,0.026,0.610108303249097
"123",13089021813,"20",236,1180,0.2,0.205,0.272251308900524,0.262,0.136773727896066,1,0.072,0.48654037886341
"124",13089021906,"20",205,1875,0.109333333333333,0.142,0.153179190751445,0.126,0.11407249466951,0.436898395721925,0.078,0.482252141982864
